,P_per100
0,100.96055594718992
1,104.50335103320991
2,107.8988280607144
3,111.15379607354177
4,114.24674046485625
5,117.18021397425416
6,119.96804184969578
7,122.59463210110553
8,125.05674176528115
9,127.37132601296538
10,129.53344081226322
11,131.5363820011703
12,133.39776134960672
13,135.12143206180784
14,136.6963968698222
15,138.1394236872062
16,139.46659743443135
17,140.65999552433513
18,141.73743814566959
19,142.71845248177374
20,143.59205663500612
21,144.3683755832489
22,145.06979656318651
23,145.69710101770502
24,146.2384288946704
25,146.7228921832127
26,147.1630592320309
27,147.52890322120194
28,147.85263176092087
29,148.14765629237363
30,148.39201216020163
31,148.6024816728721
32,148.7970019597256
33,148.96947895947093
34,149.10351418859563
35,149.22783056880013
36,149.3499188103592
37,149.43161181076348
38,149.50727487437484
39,149.58503726986913
40,149.63763819809063
41,149.6815300164003
42,149.73207403140995
43,149.77869057420622
44,149.80181381005374
45,149.83128618365123
46,149.87099958578398
47,149.88011384586622
48,149.89413728976334
49,149.91887878510673
50,149.9253653477891
51,149.9297492750294
52,149.94512414630324
53,149.96264892968895
54,149.96004702382643
55,149.96669481109055
56,149.98833197255288
57,149.9809013230479
58,149.98057306784136
59,149.99402850468164
60,149.98962257941625
61,149.98483211898304
62,149.99276641145224
63,150.00298551244254
64,149.9949150843533
65,149.99683730571857
66,150.01367383120103
67,150.0029818171822
68,149.99923752509682
69,150.00955723081665
70,150.0032082436009
71,149.99608861903687
72,150.00233515698443
73,150.0117878168873
74,150.00248385243688
75,150.0033898568419
76,150.0192714167856
77,150.0077515745944
78,150.00305350231943
79,150.01269672268018
80,150.00621674242072
81,149.99928134494908
82,150.00522578788366
83,150.0143410199432
84,150.0048571373511
85,150.0055321941596
86,150.02048688786206
87,150.0088571385487
88,150.0041345721392
89,150.01421103923806
90,150.007987909354
91,150.00024987261807
92,150.006343252431
93,150.01531019277655
94,150.00515265799928
95,150.00595583916032
96,150.02096821688914
97,150.0092712635896
98,150.00495767628956
99,150.01399975360349
100,150.00807106540879
101,150.00035820888687
102,150.00553141525575
103,150.0154341332825
104,150.00525547607424
105,150.0056823679258
106,150.02148086464967
107,150.00928376626243
108,150.00469084399703
109,150.0140849242521
110,150.0077523726246
111,150.00024411595263
112,150.0056586712074
113,150.0153366953521
114,150.00545320833888
115,150.00560762439184
116,150.0207907818337
117,150.00859860745933
118,150.00370081960523
119,150.01303711276023
120,150.00748383620166
121,150.0000553760588
122,150.00545991423346
123,150.0153462304861
124,150.00546524330434
125,150.00525359622287
126,150.02035943163503
127,150.00838916102327
128,150.00410377031503
129,150.01356777329138
130,150.00795752790296
131,150.00067440996273
132,150.00578415268004
133,150.0158487117426
134,150.0060481659042
135,150.00588518908236
136,150.02146087827794
137,150.00969478157427
138,150.00456580258353
139,150.0142889946709
140,150.0086457390095
141,150.0006464440945
142,150.00631828834003
143,150.01608449852552
144,150.0061284809493
145,150.0065010903219
146,150.02097046806477
147,150.0091872639093
148,150.0041859979804
149,150.01297720223008
150,150.0081312045521
151,150.00023447489977
152,150.00552286896053
153,150.01631090099735
154,150.00593420863316
155,150.0059775636022
156,150.02085125244736
157,150.00858183426473
158,150.00372457054544
159,150.012885346846
160,150.00810727112568
161,150.0004523568084
162,150.00554432834974
163,150.01610535601858
164,150.00563177619324
165,150.00539526025455
166,150.0200464295986
167,150.0084085996551
168,150.0036298539218
169,150.0126884154052
170,150.0081795023636
171,150.000554046336
172,150.00518835342532
173,150.01590347555074
174,150.0056209701366
175,150.00596931850066
176,150.0207048760708
177,150.0085993984087
178,150.00399001547768
179,150.01278930511995
180,150.00824034313942
181,150.00075171284507
182,150.00548841182916
183,150.01685581315303
184,150.00683968762166
185,150.00627741317783
186,150.02130346957242
187,150.00906744856513
188,150.00366614695733
189,150.01314912193635
190,150.00858652360873
191,150.00088357069197
192,150.00622874084968
193,150.01687001856737
194,150.0067324454414
195,150.0063209929123
196,150.02024816682027
197,150.00840621627955
198,150.00314463063475
199,150.01217989140227
