时间(s),温度(摄氏度)
0,25
0.5,25
1,25
1.5,25
2,25
2.5,25
3,25
3.5,25
4,25
4.5,25
5,25
5.5,25
6,25
6.5,25
7,25
7.5,25
8,25
8.5,25
9,25
9.5,25
10,25
10.5,25.00000001
11,25.00000481
11.5,25.0000668
12,25.00043949
12.5,25.00212231
13,25.00825917
13.5,25.02712655
14,25.07456633
14.5,25.1755408
15,25.35747205
15.5,25.63950321
16,26.02360118
16.5,26.49513149
17,27.0334215
17.5,27.62632051
18,28.2785385
18.5,29.01126705
19,29.84973418
19.5,30.80832088
20,31.8789866
20.5,33.0342772
21,34.23857787
21.5,35.46315075
22,36.68983591
22.5,37.90996866
23,39.1204414
23.5,40.32034443
24,41.50954306
24.5,42.68808483
25,43.85606364
25.5,45.01357392
26,46.16070952
26.5,47.29756341
27,48.42422773
27.5,49.54079381
28,50.6473522
28.5,51.74399259
29,52.83080383
29.5,53.907874
30,54.97529048
30.5,56.03313979
31,57.08150762
31.5,58.12047896
32,59.15013808
32.5,60.17056845
33,61.18185273
33.5,62.18407287
34,63.17731023
34.5,64.16164527
35,65.13715774
35.5,66.10392672
36,67.06203067
36.5,68.01154725
37,68.9525534
37.5,69.88512535
38,70.80933867
38.5,71.72526822
39,72.63298825
39.5,73.53257234
40,74.42409342
40.5,75.30762378
41,76.18323508
41.5,77.05099838
42,77.91098411
42.5,78.76326193
43,79.60790081
43.5,80.44496923
44,81.27453504
44.5,82.0966655
45,82.91142725
45.5,83.71888635
46,84.51910826
46.5,85.3121578
47,86.09809928
47.5,86.87699641
48,87.64891232
48.5,88.41390959
49,89.17205024
49.5,89.92339572
50,90.66800692
50.5,91.40594421
51,92.13726739
51.5,92.86203577
52,93.58030809
52.5,94.29214258
53,94.99759695
53.5,95.69672836
54,96.38959348
54.5,97.07624849
55,97.75674904
55.5,98.43115031
56,99.09950696
56.5,99.76187315
57,100.4183026
57.5,101.0688484
58,101.7135634
58.5,102.3524999
59,102.9857096
59.5,103.6132438
60,104.2351536
60.5,104.8514891
61,105.4623006
61.5,106.0676374
62,106.6675486
62.5,107.2620829
63,107.8512884
63.5,108.435213
64,109.0139039
64.5,109.587408
65,110.1557718
65.5,110.7190415
66,111.2772625
66.5,111.8304803
67,112.3787395
67.5,112.9220846
68,113.4605598
68.5,113.9942087
69,114.5230745
69.5,115.0472002
70,115.5666281
70.5,116.0814005
71,116.5915589
71.5,117.0971449
72,117.5981993
72.5,118.0947627
73,118.5868754
73.5,119.0745774
74,119.5579081
74.5,120.0369068
75,120.5116122
75.5,120.9820628
76,121.4482968
76.5,121.910352
77,122.3682659
77.5,122.8220754
78,123.2718175
78.5,123.7175286
79,124.1592448
79.5,124.5970019
80,125.0308354
80.5,125.4607805
81,125.886872
81.5,126.3091445
82,126.7276322
82.5,127.142369
83,127.5533885
83.5,127.9607241
84,128.3644088
84.5,128.7644752
85,129.1609559
85.5,129.5538829
86,129.9432882
86.5,130.3292032
87,130.7116593
87.5,131.0906875
88,131.4663185
88.5,131.8385827
89,132.2075103
89.5,132.5731312
90,132.9354751
90.5,133.2945713
91,133.650449
91.5,134.0031369
92,134.3526638
92.5,134.6990578
93,135.0423471
93.5,135.3825596
94,135.7197227
94.5,136.0538639
95,136.3850102
95.5,136.7131884
96,137.0384252
96.5,137.3607469
97,137.6801796
97.5,137.9967493
98,138.3104817
98.5,138.621402
99,138.9295356
99.5,139.2349074
100,139.5375422
100.5,139.8374645
101,140.1346987
101.5,140.4292687
102,140.7211985
102.5,141.0105117
103,141.2972318
103.5,141.5813821
104,141.8629855
104.5,142.1420649
105,142.4186429
105.5,142.6927421
106,142.9643844
106.5,143.2335921
107,143.5003869
107.5,143.7647904
108,144.0268241
108.5,144.2865092
109,144.5438667
109.5,144.7989176
110,145.0516824
110.5,145.3021817
111,145.5504358
111.5,145.7964648
112,146.0402886
112.5,146.2819271
113,146.5213998
113.5,146.7587261
114,146.9939253
114.5,147.2270164
115,147.4580183
115.5,147.6869498
