天数,位置,水量,食物量,当前金钱
0,1,130,405,5300
1,2,114,393,5300
2,3,98,381,5300
3,11,88,367,5300
4,11,78,357,5300
5,20,68,343,5300
6,28,52,331,5300
7,28,42,321,5300
8,29,32,307,5300
9,30,16,295,5300
10,39,184,283,3460
11,39,174,273,3460
12,47,158,261,3460
13,55,148,247,3460
14,55,124,229,4460
15,55,100,211,5460
16,55,76,193,6460
17,55,46,163,7460
18,55,16,133,8460
19,62,201,207,4730
20,55,185,195,4730
21,55,170,174,5730
22,55,155,153,6730
23,55,131,135,7730
24,55,116,114,8730
25,55,86,84,9730
26,55,62,66,10730
27,55,47,45,11730
28,55,32,24,12730
29,63,16,12,12730
30,64,0,0,12730
