Source,Target,Type,Id,Label,Weight,matchid,teamid,matchperiod,eventtime,eventsubtype,x1,y1,x2,y2,delta x,delta y,abs delta y
2,9,Directed,13088,,1,7,Opponent7,1H,12.645769,Head pass,25,31,36,41,11,10,10
12,10,Directed,13089,,2,7,Opponent7,1H,1190.755734,Simple pass,60,95,55,75,-5,-20,20
11,12,Directed,13090,,4,7,Opponent7,1H,1203.420775,Simple pass,46,55,64,75,18,20,20
12,6,Directed,13091,,4,7,Opponent7,2H,1264.834991,Simple pass,54,59,71,47,17,-12,12
8,6,Directed,13092,,3,29,Opponent7,2H,2653.592732,Launch,16,51,69,56,53,5,5
4,6,Directed,13093,,6,29,Opponent7,2H,2277.857048,Head pass,31,82,45,76,14,-6,6
6,12,Directed,13094,,6,7,Opponent7,2H,1782.136909,Simple pass,55,52,54,18,-1,-34,34
12,13,Directed,13095,,1,7,Opponent7,1H,223.258998,Simple pass,67,54,71,30,4,-24,24
13,3,Directed,13096,,6,7,Opponent7,2H,1611.70801,Simple pass,62,2,47,7,-15,5,5
13,11,Directed,13097,,3,7,Opponent7,2H,2584.115759,Simple pass,75,78,71,94,-4,16,16
11,3,Directed,13098,,3,7,Opponent7,1H,1914.494859,Simple pass,86,15,97,10,11,-5,5
11,9,Directed,13099,,2,7,Opponent7,2H,485.715446,Simple pass,64,12,57,25,-7,13,13
8,4,Directed,13100,,2,29,Opponent7,1H,2099.764126,Simple pass,11,38,22,68,11,30,30
4,10,Directed,13102,,6,29,Opponent7,2H,1385.596992,Head pass,32,90,54,86,22,-4,4
3,6,Directed,13104,,5,7,Opponent7,2H,702.183129,High pass,11,1,43,36,32,35,35
2,11,Directed,13105,,4,7,Opponent7,2H,1195.154708,Simple pass,10,37,12,68,2,31,31
11,10,Directed,13106,,5,7,Opponent7,2H,1474.960197,Simple pass,35,58,38,35,3,-23,23
10,3,Directed,13107,,9,29,Opponent7,2H,140.735229,Simple pass,46,53,49,8,3,-45,45
3,10,Directed,13108,,7,29,Opponent7,2H,2855.600454,Head pass,15,40,25,55,10,15,15
10,4,Directed,13109,,8,29,Opponent7,1H,2724.858968,Simple pass,44,55,35,68,-9,13,13
4,2,Directed,13110,,5,29,Opponent7,2H,782.743915,Simple pass,55,80,50,19,-5,-61,61
2,10,Directed,13111,,5,29,Opponent7,2H,139.339385,Simple pass,34,28,46,53,12,25,25
10,9,Directed,13112,,6,7,Opponent7,2H,2082.716425,Simple pass,48,28,74,7,26,-21,21
9,10,Directed,13113,,4,29,Opponent7,1H,521.142682,Simple pass,90,0,84,16,-6,16,16
10,2,Directed,13114,,5,29,Opponent7,2H,578.337398,Simple pass,63,43,50,18,-13,-25,25
2,8,Directed,13115,,6,29,Opponent7,1H,2096.174767,Simple pass,39,5,11,38,-28,33,33
8,13,Directed,13116,,1,7,Opponent7,1H,693.041851,High pass,10,56,63,31,53,-25,25
4,11,Directed,13117,,3,7,Opponent7,2H,1128.431076,Simple pass,17,51,28,45,11,-6,6
11,4,Directed,13118,,5,7,Opponent7,2H,2576.475472,Simple pass,66,63,44,56,-22,-7,7
12,11,Directed,13122,,1,7,Opponent7,1H,727.941948,Simple pass,79,83,75,82,-4,-1,1
11,5,Directed,13123,,2,7,Opponent7,2H,1755.296607,Simple pass,7,92,15,83,8,-9,9
12,4,Directed,13124,,2,7,Opponent7,1H,1206.946922,Simple pass,60,74,34,73,-26,-1,1
3,9,Directed,13127,,6,29,Opponent7,1H,1514.976592,Simple pass,63,7,83,8,20,1,1
9,13,Directed,13128,,3,7,Opponent7,2H,1272.103339,Simple pass,71,4,75,28,4,24,24
10,6,Directed,13137,,2,7,Opponent7,2H,360.980948,Simple pass,33,56,48,55,15,-1,1
6,4,Directed,13138,,1,7,Opponent7,1H,878.188876,Simple pass,65,44,57,77,-8,33,33
10,13,Directed,13140,,3,7,Opponent7,2H,1610.56176,Simple pass,70,1,62,2,-8,1,1
13,6,Directed,13144,,1,7,Opponent7,1H,1168.075393,Simple pass,37,22,46,26,9,4,4
6,13,Directed,13145,,1,7,Opponent7,1H,1169.156434,Simple pass,46,26,54,34,8,8,8
10,11,Directed,13148,,3,7,Opponent7,1H,1217.515672,Simple pass,41,30,47,48,6,18,18
4,5,Directed,13160,,7,29,Opponent7,2H,1582.559681,Simple pass,40,91,36,99,-4,8,8
5,11,Directed,13161,,4,7,Opponent7,2H,2304.709812,Head pass,58,94,62,73,4,-21,21
11,6,Directed,13162,,2,7,Opponent7,2H,2585.505853,High pass,71,94,91,87,20,-7,7
12,3,Directed,13164,,2,7,Opponent7,2H,2088.095634,Simple pass,61,8,42,9,-19,1,1
6,9,Directed,13165,,2,7,Opponent7,2H,10.341265,Head pass,72,5,77,14,5,9,9
11,2,Directed,13168,,3,7,Opponent7,2H,460.657862,Simple pass,62,3,52,3,-10,0,0
8,12,Directed,13170,,1,7,Opponent7,1H,1507.225517,Launch,13,69,64,82,51,13,13
4,12,Directed,13173,,1,7,Opponent7,1H,1578.279029,High pass,20,78,69,91,49,13,13
3,2,Directed,13174,,6,29,Opponent7,2H,1203.001677,Simple pass,36,9,30,26,-6,17,17
5,6,Directed,13175,,4,29,Opponent7,2H,1681.425417,Cross,81,93,89,58,8,-35,35
6,10,Directed,13176,,2,7,Opponent7,2H,2081.108641,Simple pass,54,26,48,28,-6,2,2
11,8,Directed,13182,,1,7,Opponent7,1H,2154.843573,Simple pass,32,63,13,65,-19,2,2
8,2,Directed,13186,,8,29,Opponent7,2H,1664.210205,Hand pass,11,65,22,20,11,-45,45
10,8,Directed,13188,,1,7,Opponent7,1H,2338.83118,Simple pass,26,38,13,65,-13,27,27
5,12,Directed,13189,,4,7,Opponent7,2H,1260.384406,Simple pass,18,64,33,59,15,-5,5
12,5,Directed,13190,,3,7,Opponent7,2H,468.25531,Simple pass,79,93,52,81,-27,-12,12
10,12,Directed,13193,,1,7,Opponent7,1H,2562.902794,Simple pass,65,86,66,97,1,11,11
4,8,Directed,13197,,8,29,Opponent7,2H,376.370386,Simple pass,40,97,14,70,-26,-27,27
8,9,Directed,13202,,1,7,Opponent7,1H,2696.64756,Launch,13,76,67,62,54,-14,14
9,4,Directed,13203,,2,7,Opponent7,2H,487.869122,Simple pass,57,25,44,71,-13,46,46
8,3,Directed,13207,,1,7,Opponent7,2H,182.689472,Hand pass,7,56,39,3,32,-53,53
6,5,Directed,13209,,5,29,Opponent7,2H,2131.962403,Simple pass,50,96,28,96,-22,0,0
13,2,Directed,13212,,1,7,Opponent7,2H,380.976392,Simple pass,22,14,20,22,-2,8,8
2,5,Directed,13214,,1,7,Opponent7,2H,462.219361,High pass,52,3,66,92,14,89,89
5,4,Directed,13217,,5,29,Opponent7,1H,2295.133233,Simple pass,37,72,21,66,-16,-6,6
4,3,Directed,13218,,1,7,Opponent7,2H,475.440267,High pass,43,80,74,2,31,-78,78
9,11,Directed,13220,,1,7,Opponent7,2H,483.345876,Simple pass,61,19,64,12,3,-7,7
13,12,Directed,13237,,1,7,Opponent7,2H,1273.296834,Simple pass,75,28,96,20,21,-8,8
9,3,Directed,13239,,3,29,Opponent7,1H,1522.159408,Simple pass,87,6,91,1,4,-5,5
3,12,Directed,13242,,1,7,Opponent7,2H,1478.324476,Simple pass,28,10,42,3,14,-7,7
12,9,Directed,13243,,1,7,Opponent7,2H,1481.843635,Simple pass,42,3,75,22,33,19,19
2,12,Directed,13248,,1,7,Opponent7,2H,1699.931179,Head pass,14,34,35,15,21,-19,19
2,3,Directed,13252,,8,29,Opponent7,2H,1262.001932,Simple pass,57,29,63,6,6,-23,23
9,6,Directed,13254,,2,7,Opponent7,2H,2074.243186,Simple pass,35,24,63,16,28,-8,8
9,12,Directed,13258,,1,7,Opponent7,2H,2086.27548,Simple pass,74,7,61,8,-13,1,1
5,9,Directed,13260,,1,7,Opponent7,2H,2117.613026,Head pass,21,65,41,44,20,-21,21
10,5,Directed,13261,,6,29,Opponent7,2H,415.697644,Simple pass,57,80,47,87,-10,7,7
9,2,Directed,13267,,1,29,Opponent7,1H,0.111465,Simple pass,51,51,31,31,-20,-20,20
5,10,Directed,13268,,4,29,Opponent7,1H,2721.691766,Simple pass,53,84,44,55,-9,-29,29
2,7,Directed,13269,,1,29,Opponent7,1H,50.478887,Head pass,41,8,48,12,7,4,4
7,15,Directed,13270,,4,29,Opponent7,2H,766.029742,Simple pass,91,36,95,14,4,-22,22
