Source,Target,Type,Id,Label,Weight,matchid,teamid
13,8,Directed,13522,,6,9,Opponent9
8,14,Directed,13523,,5,9,Opponent9
14,15,Directed,13524,,19,26,Opponent9
15,2,Directed,13525,,7,9,Opponent9
2,3,Directed,13526,,11,9,Opponent9
3,15,Directed,13527,,19,26,Opponent9
15,8,Directed,13528,,7,9,Opponent9
15,9,Directed,13529,,2,9,Opponent9
11,8,Directed,13530,,1,9,Opponent9
3,14,Directed,13531,,5,9,Opponent9
14,2,Directed,13532,,2,9,Opponent9
2,14,Directed,13533,,4,9,Opponent9
14,4,Directed,13534,,11,26,Opponent9
4,13,Directed,13535,,14,26,Opponent9
13,15,Directed,13536,,18,26,Opponent9
15,4,Directed,13537,,18,26,Opponent9
4,15,Directed,13539,,13,26,Opponent9
15,3,Directed,13540,,17,26,Opponent9
3,8,Directed,13541,,12,9,Opponent9
8,13,Directed,13542,,7,9,Opponent9
13,14,Directed,13543,,16,26,Opponent9
2,5,Directed,13544,,2,9,Opponent9
3,11,Directed,13545,,7,9,Opponent9
13,9,Directed,13546,,6,9,Opponent9
3,5,Directed,13549,,23,9,Opponent9
5,8,Directed,13550,,9,9,Opponent9
8,9,Directed,13551,,2,9,Opponent9
9,8,Directed,13552,,5,9,Opponent9
14,5,Directed,13553,,4,9,Opponent9
5,6,Directed,13554,,1,9,Opponent9
6,14,Directed,13555,,10,26,Opponent9
2,11,Directed,13556,,3,9,Opponent9
11,4,Directed,13557,,6,9,Opponent9
13,6,Directed,13559,,7,26,Opponent9
6,13,Directed,13560,,10,26,Opponent9
5,15,Directed,13563,,13,26,Opponent9
15,5,Directed,13564,,18,26,Opponent9
5,2,Directed,13566,,2,9,Opponent9
15,14,Directed,13567,,15,26,Opponent9
14,8,Directed,13569,,2,9,Opponent9
14,13,Directed,13571,,12,26,Opponent9
14,9,Directed,13574,,3,9,Opponent9
15,13,Directed,13577,,19,26,Opponent9
13,4,Directed,13578,,13,26,Opponent9
5,3,Directed,13582,,9,9,Opponent9
3,2,Directed,13583,,5,9,Opponent9
2,15,Directed,13584,,9,9,Opponent9
9,5,Directed,13587,,3,9,Opponent9
11,3,Directed,13588,,5,9,Opponent9
15,6,Directed,13595,,6,26,Opponent9
6,9,Directed,13596,,4,9,Opponent9
9,15,Directed,13597,,2,9,Opponent9
2,6,Directed,13602,,2,9,Opponent9
6,3,Directed,13612,,1,9,Opponent9
4,2,Directed,13617,,5,9,Opponent9
2,13,Directed,13618,,4,9,Opponent9
9,13,Directed,13620,,1,9,Opponent9
4,6,Directed,13622,,8,26,Opponent9
8,5,Directed,13640,,3,9,Opponent9
5,9,Directed,13646,,4,9,Opponent9
11,2,Directed,13649,,1,9,Opponent9
14,3,Directed,13656,,7,26,Opponent9
9,14,Directed,13661,,3,9,Opponent9
13,3,Directed,13662,,4,26,Opponent9
8,2,Directed,13668,,2,9,Opponent9
4,11,Directed,13671,,3,9,Opponent9
11,6,Directed,13672,,1,9,Opponent9
4,3,Directed,13676,,6,26,Opponent9
8,3,Directed,13679,,2,9,Opponent9
5,14,Directed,13687,,6,26,Opponent9
8,6,Directed,13692,,3,9,Opponent9
4,14,Directed,13696,,11,26,Opponent9
8,4,Directed,13700,,2,9,Opponent9
8,15,Directed,13714,,2,9,Opponent9
4,9,Directed,13728,,2,9,Opponent9
2,4,Directed,13732,,4,9,Opponent9
14,6,Directed,13734,,10,26,Opponent9
6,4,Directed,13740,,6,9,Opponent9
9,3,Directed,13746,,1,9,Opponent9
6,15,Directed,13751,,8,26,Opponent9
5,13,Directed,13753,,7,26,Opponent9
13,5,Directed,13754,,8,26,Opponent9
6,2,Directed,13775,,1,9,Opponent9
3,13,Directed,13822,,4,26,Opponent9
4,8,Directed,13825,,1,9,Opponent9
5,11,Directed,13854,,2,26,Opponent9
11,13,Directed,13865,,2,26,Opponent9
3,9,Directed,13866,,1,9,Opponent9
6,8,Directed,13888,,5,9,Opponent9
13,16,Directed,13895,,2,26,Opponent9
11,5,Directed,13896,,1,9,Opponent9
5,16,Directed,13897,,3,26,Opponent9
16,15,Directed,13898,,6,26,Opponent9
15,16,Directed,13900,,4,9,Opponent9
16,6,Directed,13908,,1,9,Opponent9
6,16,Directed,13909,,1,9,Opponent9
4,16,Directed,13922,,2,26,Opponent9
6,17,Directed,13925,,1,9,Opponent9
17,4,Directed,13926,,1,9,Opponent9
3,17,Directed,13928,,2,9,Opponent9
16,5,Directed,13931,,3,26,Opponent9
5,17,Directed,13932,,1,9,Opponent9
17,16,Directed,13933,,2,9,Opponent9
16,14,Directed,13934,,2,9,Opponent9
17,14,Directed,13939,,3,9,Opponent9
8,16,Directed,13941,,3,9,Opponent9
17,6,Directed,13942,,3,9,Opponent9
3,16,Directed,13951,,1,9,Opponent9
11,14,Directed,13953,,1,9,Opponent9
4,17,Directed,13954,,1,9,Opponent9
14,17,Directed,13957,,1,9,Opponent9
15,17,Directed,13964,,2,9,Opponent9
16,8,Directed,13968,,1,9,Opponent9
16,3,Directed,13972,,2,9,Opponent9
3,4,Directed,13977,,3,26,Opponent9
8,11,Directed,13980,,1,9,Opponent9
17,3,Directed,13990,,1,9,Opponent9
2,17,Directed,14013,,1,9,Opponent9
14,16,Directed,14019,,1,9,Opponent9
14,7,Directed,14023,,9,26,Opponent9
7,11,Directed,14024,,6,26,Opponent9
11,15,Directed,14025,,1,26,Opponent9
15,11,Directed,14026,,1,26,Opponent9
11,7,Directed,14027,,3,26,Opponent9
10,15,Directed,14031,,2,26,Opponent9
7,6,Directed,14034,,15,26,Opponent9
6,18,Directed,14035,,3,26,Opponent9
18,14,Directed,14036,,10,26,Opponent9
15,7,Directed,14040,,8,26,Opponent9
7,15,Directed,14044,,9,26,Opponent9
15,18,Directed,14045,,9,26,Opponent9
18,6,Directed,14047,,1,26,Opponent9
6,1,Directed,14058,,11,26,Opponent9
1,13,Directed,14059,,6,26,Opponent9
14,18,Directed,14062,,3,26,Opponent9
18,13,Directed,14065,,14,26,Opponent9
13,10,Directed,14066,,3,26,Opponent9
10,1,Directed,14067,,1,26,Opponent9
1,14,Directed,14068,,4,26,Opponent9
15,1,Directed,14071,,5,26,Opponent9
18,1,Directed,14075,,4,26,Opponent9
1,3,Directed,14076,,2,26,Opponent9
7,18,Directed,14080,,1,26,Opponent9
14,10,Directed,14082,,1,26,Opponent9
3,7,Directed,14085,,1,26,Opponent9
14,1,Directed,14090,,3,26,Opponent9
1,18,Directed,14100,,1,26,Opponent9
13,18,Directed,14103,,12,26,Opponent9
4,7,Directed,14108,,14,26,Opponent9
7,14,Directed,14109,,5,26,Opponent9
18,15,Directed,14118,,8,26,Opponent9
3,18,Directed,14124,,3,26,Opponent9
1,7,Directed,14128,,2,26,Opponent9
7,1,Directed,14135,,5,26,Opponent9
1,6,Directed,14136,,7,26,Opponent9
13,7,Directed,14141,,3,26,Opponent9
6,7,Directed,14145,,4,26,Opponent9
18,10,Directed,14150,,3,26,Opponent9
10,18,Directed,14151,,1,26,Opponent9
1,4,Directed,14162,,1,26,Opponent9
18,3,Directed,14207,,2,26,Opponent9
1,10,Directed,14214,,1,26,Opponent9
10,13,Directed,14216,,4,26,Opponent9
4,10,Directed,14268,,2,26,Opponent9
5,18,Directed,14285,,5,26,Opponent9
4,5,Directed,14288,,6,26,Opponent9
7,4,Directed,14300,,6,26,Opponent9
4,18,Directed,14301,,2,26,Opponent9
13,1,Directed,14304,,2,26,Opponent9
15,10,Directed,14306,,1,26,Opponent9
6,10,Directed,14312,,2,26,Opponent9
1,15,Directed,14337,,5,26,Opponent9
5,4,Directed,14350,,2,26,Opponent9
12,18,Directed,14364,,1,26,Opponent9
18,5,Directed,14384,,1,26,Opponent9
16,7,Directed,14387,,1,26,Opponent9
7,12,Directed,14389,,1,26,Opponent9
12,7,Directed,14390,,2,26,Opponent9
7,13,Directed,14391,,1,26,Opponent9
16,4,Directed,14394,,2,26,Opponent9
10,16,Directed,14396,,1,26,Opponent9
12,6,Directed,14405,,2,26,Opponent9
1,16,Directed,14407,,1,26,Opponent9
18,16,Directed,14417,,1,26,Opponent9
10,6,Directed,14428,,2,26,Opponent9
5,10,Directed,14434,,1,26,Opponent9
