Source,Target,Type,Id,Label,Weight,matchid,teamid,eventtime,eventsubtype,matchperiod
1,12,Directed,769,,2,14,Huskies,1755.175639,Simple pass,1H
1,11,Directed,701,,1,14,Huskies,622.031006,Simple pass,1H
1,8,Directed,709,,5,14,Huskies,2673.432424,Simple pass,2H
1,7,Directed,666,,3,14,Huskies,2608.04383,Simple pass,1H
1,6,Directed,687,,13,14,Huskies,2210.464372,Head pass,2H
1,3,Directed,668,,8,14,Huskies,2802.161616,Simple pass,2H
1,2,Directed,714,,6,14,Huskies,2860.927769,Simple pass,2H
2,14,Directed,995,,1,14,Huskies,2835.965573,Simple pass,2H
2,13,Directed,884,,3,14,Huskies,2323.552114,Simple pass,2H
2,12,Directed,845,,4,14,Huskies,2332.166513,Simple pass,2H
2,11,Directed,715,,2,14,Huskies,2177.516933,Cross,1H
2,10,Directed,997,,1,14,Huskies,2843.26478,Simple pass,2H
2,9,Directed,978,,2,14,Huskies,2863.320209,Simple pass,2H
2,7,Directed,747,,3,14,Huskies,1535.146625,Simple pass,2H
2,6,Directed,694,,7,14,Huskies,2005.005337,Simple pass,2H
2,5,Directed,678,,3,14,Huskies,759.137148,High pass,2H
2,1,Directed,665,,5,14,Huskies,2800.586457,Simple pass,2H
3,13,Directed,780,,1,14,Huskies,1795.497798,Simple pass,1H
3,12,Directed,672,,2,14,Huskies,962.001855,Simple pass,1H
3,11,Directed,679,,1,14,Huskies,281.926125,Head pass,1H
3,10,Directed,982,,1,14,Huskies,2804.386518,Simple pass,2H
3,8,Directed,704,,5,14,Huskies,2828.228132,Simple pass,2H
3,7,Directed,711,,5,14,Huskies,2854.09552,Simple pass,2H
3,6,Directed,669,,3,14,Huskies,2166.48436,Simple pass,1H
3,5,Directed,676,,5,14,Huskies,2080.607341,Simple pass,2H
3,4,Directed,702,,5,14,Huskies,2823.656156,Simple pass,2H
3,2,Directed,977,,1,14,Huskies,2792.710445,Simple pass,2H
3,1,Directed,690,,7,14,Huskies,2318.826805,Simple pass,2H
4,13,Directed,726,,4,14,Huskies,2137.687221,Simple pass,1H
4,11,Directed,766,,5,14,Huskies,2442.126865,High pass,2H
4,10,Directed,975,,1,14,Huskies,2788.537643,Simple pass,2H
4,8,Directed,685,,4,14,Huskies,2157.948625,Simple pass,1H
4,7,Directed,852,,2,14,Huskies,2092.916307,Simple pass,2H
4,6,Directed,768,,4,14,Huskies,2259.989816,Simple pass,2H
4,5,Directed,771,,6,14,Huskies,1819.845421,Cross,2H
4,3,Directed,703,,4,14,Huskies,2850.43464,Simple pass,2H
5,13,Directed,671,,3,14,Huskies,996.05558,Simple pass,2H
5,12,Directed,660,,2,14,Huskies,325.808332,Simple pass,1H
5,11,Directed,811,,3,14,Huskies,1659.145417,Simple pass,2H
5,8,Directed,791,,1,14,Huskies,1845.208443,Simple pass,1H
5,6,Directed,662,,2,14,Huskies,1934.339096,Simple pass,1H
5,4,Directed,732,,1,14,Huskies,1196.111362,Simple pass,1H
6,13,Directed,923,,3,14,Huskies,2268.065868,Simple pass,2H
6,12,Directed,692,,11,14,Huskies,2050.768577,High pass,2H
