Source,Target,Type,Id,Label,Weight,matchid,teamid
1,14,Directed,9,,3,7,Huskies
1,16,Directed,12,,4,29,Huskies
1,4,Directed,45,,13,29,Huskies
1,2,Directed,54,,12,29,Huskies
1,13,Directed,62,,8,29,Huskies
1,12,Directed,74,,5,29,Huskies
1,6,Directed,114,,3,29,Huskies
1,3,Directed,161,,3,7,Huskies
1,9,Directed,234,,1,7,Huskies
1,15,Directed,387,,2,29,Huskies
1,10,Directed,491,,1,29,Huskies
2,3,Directed,3,,14,7,Huskies
2,16,Directed,14,,3,29,Huskies
2,12,Directed,25,,8,29,Huskies
2,4,Directed,29,,5,29,Huskies
2,17,Directed,34,,1,7,Huskies
2,9,Directed,40,,3,7,Huskies
2,1,Directed,44,,12,29,Huskies
2,14,Directed,64,,3,7,Huskies
2,13,Directed,79,,5,29,Huskies
2,6,Directed,323,,2,29,Huskies
2,7,Directed,339,,3,29,Huskies
2,8,Directed,368,,1,7,Huskies
2,10,Directed,459,,2,29,Huskies
2,5,Directed,464,,1,29,Huskies
3,9,Directed,4,,6,7,Huskies
3,14,Directed,16,,7,7,Huskies
3,1,Directed,36,,1,7,Huskies
3,2,Directed,56,,10,7,Huskies
3,16,Directed,60,,7,7,Huskies
3,13,Directed,112,,3,7,Huskies
3,12,Directed,148,,1,7,Huskies
3,6,Directed,276,,2,7,Huskies
3,15,Directed,309,,3,7,Huskies
3,8,Directed,383,,1,7,Huskies
4,13,Directed,7,,17,29,Huskies
4,6,Directed,20,,13,29,Huskies
4,1,Directed,46,,12,29,Huskies
4,17,Directed,47,,5,7,Huskies
4,16,Directed,84,,4,29,Huskies
4,12,Directed,152,,4,29,Huskies
4,14,Directed,167,,2,7,Huskies
4,9,Directed,176,,3,29,Huskies
4,7,Directed,281,,3,29,Huskies
4,15,Directed,288,,5,29,Huskies
4,8,Directed,350,,1,7,Huskies
4,2,Directed,358,,2,7,Huskies
4,10,Directed,418,,3,29,Huskies
4,5,Directed,466,,2,29,Huskies
4,18,Directed,586,,1,29,Huskies
5,2,Directed,392,,4,29,Huskies
5,15,Directed,401,,1,29,Huskies
5,11,Directed,408,,8,29,Huskies
5,10,Directed,428,,1,29,Huskies
5,13,Directed,434,,1,29,Huskies
5,16,Directed,465,,1,29,Huskies
5,6,Directed,467,,2,29,Huskies
5,12,Directed,498,,1,29,Huskies
5,7,Directed,515,,1,29,Huskies
6,13,Directed,1,,5,29,Huskies
6,16,Directed,21,,6,29,Huskies
6,17,Directed,27,,1,7,Huskies
6,2,Directed,33,,2,7,Huskies
6,3,Directed,85,,3,7,Huskies
6,4,Directed,115,,6,29,Huskies
6,9,Directed,157,,3,29,Huskies
6,14,Directed,197,,2,7,Huskies
6,15,Directed,307,,2,29,Huskies
6,7,Directed,346,,2,29,Huskies
6,10,Directed,529,,1,29,Huskies
6,11,Directed,573,,1,29,Huskies
7,4,Directed,280,,3,29,Huskies
7,3,Directed,282,,5,7,Huskies
7,13,Directed,298,,4,29,Huskies
7,16,Directed,315,,2,7,Huskies
7,2,Directed,320,,3,29,Huskies
7,15,Directed,327,,1,7,Huskies
7,6,Directed,505,,4,29,Huskies
7,10,Directed,508,,2,29,Huskies
7,5,Directed,512,,3,29,Huskies
7,1,Directed,537,,3,29,Huskies
7,11,Directed,591,,1,29,Huskies
7,9,Directed,597,,1,29,Huskies
7,12,Directed,601,,1,29,Huskies
8,7,Directed,343,,2,7,Huskies
8,15,Directed,348,,1,7,Huskies
8,1,Directed,376,,1,7,Huskies
8,4,Directed,380,,1,7,Huskies
9,3,Directed,5,,2,7,Huskies
9,16,Directed,41,,4,7,Huskies
9,17,Directed,43,,1,7,Huskies
9,13,Directed,81,,2,7,Huskies
9,4,Directed,224,,3,29,Huskies
9,7,Directed,547,,1,29,Huskies
9,6,Directed,581,,1,29,Huskies
10,16,Directed,394,,4,29,Huskies
10,6,Directed,398,,4,29,Huskies
10,4,Directed,449,,3,29,Huskies
10,15,Directed,453,,1,29,Huskies
10,11,Directed,458,,1,29,Huskies
10,7,Directed,511,,2,29,Huskies
11,15,Directed,390,,2,29,Huskies
11,10,Directed,409,,2,29,Huskies
11,16,Directed,425,,1,29,Huskies
11,5,Directed,427,,4,29,Huskies
11,4,Directed,477,,1,29,Huskies
11,2,Directed,480,,3,29,Huskies
11,13,Directed,535,,2,29,Huskies
11,7,Directed,596,,1,29,Huskies
11,6,Directed,598,,1,29,Huskies
12,17,Directed,75,,1,7,Huskies
12,6,Directed,97,,8,29,Huskies
12,1,Directed,129,,4,7,Huskies
12,3,Directed,245,,2,7,Huskies
12,2,Directed,266,,4,29,Huskies
12,7,Directed,362,,1,7,Huskies
12,10,Directed,503,,1,29,Huskies
