Source,Target,Type,Id,Label,Weight,matchid
1,17,Directed,702,,1,9
1,6,Directed,713,,10,26
1,2,Directed,714,,4,26
1,13,Directed,718,,2,9
1,3,Directed,743,,5,9
1,9,Directed,775,,3,9
1,16,Directed,797,,3,9
1,10,Directed,841,,2,26
1,18,Directed,862,,1,9
1,19,Directed,864,,1,9
1,12,Directed,878,,1,26
1,7,Directed,885,,2,26
1,20,Directed,890,,1,26
1,15,Directed,894,,1,26
1,14,Directed,963,,1,26
2,3,Directed,708,,1,9
2,1,Directed,715,,2,26
2,13,Directed,737,,4,26
2,9,Directed,750,,1,9
2,18,Directed,751,,1,9
2,17,Directed,768,,1,9
2,12,Directed,872,,2,26
2,6,Directed,882,,7,26
2,7,Directed,904,,8,26
2,14,Directed,956,,3,26
2,15,Directed,979,,3,26
2,5,Directed,992,,1,26
2,10,Directed,1076,,1,26
3,4,Directed,699,,7,9
3,9,Directed,711,,1,9
3,17,Directed,727,,2,9
3,2,Directed,736,,1,9
3,13,Directed,741,,3,9
3,16,Directed,795,,2,9
3,14,Directed,801,,1,9
3,1,Directed,803,,1,9
4,3,Directed,698,,3,9
4,9,Directed,704,,3,9
4,8,Directed,734,,3,9
4,14,Directed,766,,2,9
4,16,Directed,824,,1,9
5,15,Directed,869,,6,26
5,7,Directed,871,,4,26
5,10,Directed,943,,3,26
5,2,Directed,993,,1,26
5,20,Directed,1010,,5,26
5,13,Directed,1020,,1,26
5,16,Directed,1070,,2,26
5,8,Directed,1078,,3,26
5,14,Directed,1091,,1,26
6,1,Directed,717,,3,26
6,9,Directed,730,,2,9
6,3,Directed,740,,2,9
6,8,Directed,755,,3,26
6,18,Directed,758,,2,9
6,16,Directed,785,,3,9
6,14,Directed,811,,6,26
6,13,Directed,820,,1,9
6,17,Directed,850,,2,9
6,10,Directed,879,,3,26
6,2,Directed,881,,8,26
6,15,Directed,883,,6,26
6,12,Directed,892,,4,26
6,20,Directed,930,,5,26
6,5,Directed,968,,1,26
7,5,Directed,868,,9,26
7,12,Directed,876,,2,26
7,15,Directed,886,,6,26
7,1,Directed,898,,1,26
7,14,Directed,905,,3,26
7,10,Directed,912,,1,26
7,13,Directed,927,,3,26
7,2,Directed,955,,7,26
7,20,Directed,967,,1,26
7,16,Directed,1031,,1,26
7,6,Directed,1093,,1,26
7,8,Directed,1115,,1,26
8,18,Directed,719,,2,9
8,9,Directed,729,,3,9
8,17,Directed,815,,1,9
8,14,Directed,831,,3,26
8,10,Directed,1068,,1,26
8,7,Directed,1072,,1,26
8,11,Directed,1089,,1,26
8,15,Directed,1098,,1,26
8,16,Directed,1119,,1,26
9,2,Directed,707,,1,9
9,1,Directed,712,,2,9
9,18,Directed,722,,4,9
9,8,Directed,726,,2,9
9,4,Directed,732,,1,9
9,6,Directed,765,,2,9
9,3,Directed,778,,1,9
9,17,Directed,781,,2,9
9,14,Directed,787,,1,9
10,15,Directed,880,,1,26
10,12,Directed,913,,2,26
