仓库,总库存量,品类数量,仓容上限,仓库利用率
warehouse1,557537.3039960001,7,618887,0.9008709247342408
warehouse2,926106.58996,7,1200847,0.7712111451000835
warehouse3,649911.2846300001,4,781957,0.8311343010293406
warehouse4,855709.9453,12,1112506,0.7691733305708014
warehouse5,2847.4146194,3,42989,0.06623588870176092
warehouse6,205.87831,1,1200,0.17156525833333333
warehouse7,149995.60283,4,162246,0.9244949202445668
warehouse8,89514.4554,2,225918,0.39622542426898255
warehouse9,575314.83353,12,860000,0.6689707366627906
warehouse10,1409292.0140000002,12,1800000,0.7829400077777778
warehouse11,755377.948316,6,1003754,0.7525528648613107
warehouse12,312960.82369999995,9,550000,0.5690196794545453
warehouse13,1807114.6841999996,12,1851905,0.9758139236083921
warehouse14,330029.26,3,371557,0.8882331916771855
warehouse15,793584.0225,6,809878,0.9798809481181115
warehouse16,298491.71041999996,7,556854,0.5360322641482327
warehouse17,1230844.4686510002,13,1235639,0.9961197960334695
warehouse18,3184894.5776,11,3221987,0.9884877181689435
warehouse19,1576952.519,6,2405343,0.6556040111535029
warehouse20,813088.19461,12,814791,0.9979101323038669
warehouse21,900420.1873,10,938152,0.9597807042995165
warehouse22,149639.6167,2,650000,0.23021479492307695
warehouse23,2103787.60287,11,2195678,0.9581494203020662
warehouse24,410694.164,2,942510,0.43574515283657467
warehouse25,1992542.2451,4,2130472,0.9352585929784574
warehouse26,916964.3714,11,1223162,0.7496671507126611
warehouse27,1718806.8067297,9,1847628,0.9302775270399127
warehouse28,938789.5436300001,13,1399259,0.6709190676136442
warehouse29,295571.929,3,387074,0.7636057420544908
warehouse30,620549.9231,10,1497042,0.4145173770007789
warehouse31,967032.560078,9,1036486,0.9329914345953538
warehouse32,404915.8543,3,674358,0.6004464309758318
warehouse33,2110152.1026,11,2205232,0.9568844015504944
warehouse34,294069.184226,11,1106130,0.26585408968746893
warehouse35,1166553.9227600002,12,1635255,0.713377377081862
warehouse36,888769.376708,10,954532,0.9311048521243919
warehouse37,1324503.03129,14,1254913,1.0554540683617113
warehouse38,2700082.9018699997,11,3130754,0.8624385377675792
warehouse39,1033857.4708353999,8,820359,1.26025005008222
warehouse40,4356045.5006,11,4610648,0.9447794541244527
warehouse41,264400.98853870004,9,715005,0.36978900642471035
warehouse42,1589.0583,1,50000,0.031781166
warehouse43,482394.1168099999,8,505299,0.9546706342383419
warehouse44,565443.7315,15,890239,0.6351594700973558
warehouse45,521240.8861480001,8,558510,0.9332704627455195
warehouse46,661713.6061999999,4,1650000,0.4010385492121212
warehouse47,395971.87715,9,455074,0.8701263468139248
warehouse48,1004004.0876800001,9,1263760,0.7944578778249035
warehouse49,286756.946,4,400000,0.716892365
warehouse50,1652605.1748600001,9,1800658,0.9177784870086381
warehouse51,589786.0140000001,9,875574,0.6735992777309514
warehouse52,494028.19646999997,2,787636,0.6272290708779182
warehouse53,247989.286,3,348146,0.7123140464058182
warehouse54,291445.49,3,380044,0.7668730199661091
warehouse55,465336.585,3,517741,0.8987825669591553
warehouse56,607148.6727,7,1001618,0.6061678930490466
warehouse57,759503.3701189999,15,810068,0.9375797712278473
warehouse58,2490.2869,1,97270,0.025601798087796855
warehouse59,178997.59354,3,250000,0.71599037416
warehouse60,5811005.5697,11,6416779,0.9055954038155279
warehouse61,540909.7884,10,551392,0.9809895471824037
warehouse62,407220.9904297,5,407598,0.9990750455833934
warehouse63,1018010.953835,7,1172350,0.8683507091184374
warehouse64,1243565.0148139996,11,1323065,0.9399122604059511
warehouse65,470178.817,4,600941,0.782404290937047
warehouse66,468956.647,14,555049,0.8448923374332716
warehouse67,2338622.777907,15,2825685,0.8276303897663752
warehouse68,1255684.417,8,1354130,0.9272997548241305
warehouse69,604111.268117,14,1020000,0.5922659491343137
warehouse70,0.0,0,7572,0.0
warehouse71,87570.326868,8,245098,0.35728699078735854
warehouse72,222282.4638,2,560000,0.39693297107142855
warehouse73,476389.959748,8,499613,0.9535179423834048
warehouse74,200894.7081,3,241274,0.8326413459386424
warehouse75,392388.91819999996,12,436724,0.8984826073217866
warehouse76,626167.3566700001,7,727612,0.8605786554784695
warehouse77,309222.70519999997,8,668475,0.46257931141777925
warehouse78,404819.73433500004,4,468911,0.8633189119790323
warehouse79,656902.6295750001,10,663244,0.9904388574566828
warehouse80,1080002.418735,12,1110560,0.9724845291879773
warehouse81,18813.130660000003,5,226837,0.0829367813011105
warehouse82,881.40045,1,92843,0.009493450771732925
warehouse83,99855.622,3,106133,0.9408536647414094
warehouse84,234630.81199999998,2,542128,0.43279596700410233
warehouse85,155229.29210000002,6,202259,0.7674777987629723
warehouse86,30055.424,1,69809,0.43053795355899666
warehouse87,147684.071,4,224727,0.657171016388774
warehouse88,362772.248573,10,380627,0.9530912115351775
warehouse89,49214.7158,2,88217,0.5578824466939478
warehouse90,98101.82427,2,103001,0.9524356488771953
warehouse91,29844.50917,3,348315,0.08568252636263153
warehouse92,0.0,0,8091,0.0
warehouse93,0.0,0,13000,0.0
warehouse94,0.0,0,8292,0.0
warehouse95,656411.54,2,1346728,0.4874121129136693
warehouse96,413508.05734,11,453718,0.9113767964682908
warehouse97,264829.126,5,328513,0.8061450414443264
warehouse98,6910.384349999999,3,31021,0.22276471906128104
warehouse99,308135.1052,4,467631,0.6589278837373912
warehouse100,244089.23045700003,2,400199,0.6099196411210424
warehouse101,4567.952619000001,2,41471,0.1101481184201008
warehouse102,1939498.1960399998,14,2100000,0.9235705695428571
warehouse103,9752333.803399999,10,11500000,0.8480290263826086
warehouse104,6862763.964454001,15,9481367,0.7238158763872341
warehouse105,3993298.6552460003,16,4333446,0.9215064997339301
warehouse106,613895.148587,8,678594,0.9046574956262508
warehouse107,10452.131448,3,75320,0.13876966872012747
warehouse108,332271.843737,11,833153,0.398812515512757
warehouse109,2645871.3207999994,9,2636856,1.0034189659200197
warehouse110,226447.6487,11,222000,1.0200344536036035
warehouse111,679062.03657,9,920000,0.7381109093152174
warehouse112,804431.1278800002,12,1528036,0.526447759005678
warehouse113,802011.7907159999,12,1038218,0.7724888132511668
warehouse114,1084025.52014,10,1495450,0.7248824903139522
warehouse115,4210365.577199999,12,4780561,0.8807262530903798
warehouse116,2226712.015,6,2321407,0.9592079351014278
warehouse117,259401.02847000002,12,400000,0.6485025711750001
warehouse118,8067.70154,2,415159,0.01943279933712144
warehouse119,2044543.534918,12,2178072,0.9386941914307699
warehouse120,283842.171089,8,600000,0.4730702851483333
warehouse121,1044391.380952,12,1238845,0.8430363612493896
warehouse122,1530285.5897519998,6,1850399,0.8270030354274942
warehouse123,1470653.8941000002,11,1481455,0.9927091231930771
warehouse124,1216847.7282,8,1200000,1.0140397735
warehouse125,98171.2655,3,180000,0.5453959194444444
warehouse126,541813.492948,10,600000,0.9030224882466666
warehouse127,408193.35931940004,7,456308,0.8945566576071426
warehouse128,1555007.69724,12,1782357,0.8724445760529456
warehouse129,479192.62649,9,586800,0.816620017876619
warehouse130,318626.581,2,767141,0.41534291740371065
warehouse131,59036.765999999996,2,200475,0.294484429479985
warehouse132,558917.1676950001,16,950012,0.5883264292398412
warehouse133,1754749.2848099999,13,2078326,0.8443089702048667
warehouse134,3046050.7738670004,10,13300000,0.22902637397496242
warehouse135,89111.72807000001,5,271627,0.32806653267164165
warehouse136,229156.37212800005,13,302874,0.756606285544484
warehouse137,240753.6215,10,277876,0.8664066759993666
warehouse138,0.0,0,8708,0.0
warehouse139,4991492.821649999,10,13500000,0.36974020901111104
warehouse140,4025305.86724,12,4482310,0.8980427206596598
