品类,日期,预测销量
category1,2023-07-01,28.489717535608417
category1,2023-07-02,27.77133501089582
category1,2023-07-03,27.626827690655915
category1,2023-07-04,26.357350706528923
category1,2023-07-05,25.298384517089012
category1,2023-07-06,25.644789750744238
category1,2023-07-07,26.16106581026205
category1,2023-07-08,26.69905537070161
category1,2023-07-09,26.0525844527307
category1,2023-07-10,26.67145727211178
category1,2023-07-11,26.080461601116102
category1,2023-07-12,25.904411767229064
category1,2023-07-13,26.1772679110852
category1,2023-07-14,26.448016548412784
category1,2023-07-15,26.4928370612333
category1,2023-07-16,25.656183603579848
category1,2023-07-17,27.098522370755823
category1,2023-07-18,27.520391976060907
category1,2023-07-19,27.182157826489544
category1,2023-07-20,27.434590305122025
category1,2023-07-21,27.877063556724227
category1,2023-07-22,28.421254199414875
category1,2023-07-23,30.13256915512588
category1,2023-07-24,30.270739004182932
category1,2023-07-25,29.97438186132579
category1,2023-07-26,29.272017558961487
category1,2023-07-27,29.944835019278955
category1,2023-07-28,31.54521197565591
category1,2023-07-29,33.24694368838763
category1,2023-07-30,33.29653171147564
category1,2023-07-31,31.97043358737752
category1,2023-08-01,31.87666012213512
category1,2023-08-02,30.68488822086644
category1,2023-08-03,30.77903501442377
category1,2023-08-04,30.88668525015295
category1,2023-08-05,30.469784582228563
category1,2023-08-06,30.644773038217018
category1,2023-08-07,28.89300481760533
category1,2023-08-08,27.9312321166221
category1,2023-08-09,27.25149546954824
category1,2023-08-10,28.17963068988347
category1,2023-08-11,28.954307704389436
category1,2023-08-12,28.220107848689572
category1,2023-08-13,27.391771851353575
category1,2023-08-14,27.005889320529306
category1,2023-08-15,27.207000431640413
category1,2023-08-16,26.87772410202688
category1,2023-08-17,26.902682388128632
category1,2023-08-18,26.8104162069414
category1,2023-08-19,26.743838451363644
category1,2023-08-20,25.823681602656794
category1,2023-08-21,26.797671998905447
category1,2023-08-22,27.26104762328107
category1,2023-08-23,28.722202083308808
category1,2023-08-24,30.305374645931366
category1,2023-08-25,31.352214467608402
category1,2023-08-26,30.032926172570104
category1,2023-08-27,28.824429979873916
category1,2023-08-28,28.70736288030681
category1,2023-08-29,28.0721624696064
category1,2023-08-30,29.18289024183417
category1,2023-08-31,33.141769838845356
category1,2023-09-01,32.22215527128423
category1,2023-09-02,30.817343820218774
category1,2023-09-03,30.380528435603395
category1,2023-09-04,28.995299087174057
category1,2023-09-05,28.47144418173091
category1,2023-09-06,28.23411853661579
category1,2023-09-07,28.887954636716408
category1,2023-09-08,29.75488298444866
category1,2023-09-09,29.92818364783756
category1,2023-09-10,29.45042000298568
category1,2023-09-11,28.193293887580616
category1,2023-09-12,27.73286653715326
category1,2023-09-13,27.29896543825216
category1,2023-09-14,28.306220649707374
category1,2023-09-15,29.76129568286136
category1,2023-09-16,29.857396193461863
category1,2023-09-17,29.638546151690775
category1,2023-09-18,28.450658131523806
category1,2023-09-19,27.897287058152724
category1,2023-09-20,27.3623145306802
category1,2023-09-21,28.551251560317237
category1,2023-09-22,30.15145862810325
category1,2023-09-23,33.2394482286139
category1,2023-09-24,31.795128067293746
category1,2023-09-25,29.17381968678536
category1,2023-09-26,29.41978577625144
category1,2023-09-27,28.371521096486774
category1,2023-09-28,31.092332229797897
category1,2023-09-29,34.8139839435812
category1,2023-09-30,33.9144018285636
category10,2023-07-01,31.696155671433413
category10,2023-07-02,46.303615396249235
category10,2023-07-03,40.90146155711861
category10,2023-07-04,30.477277454620985
category10,2023-07-05,28.462847488766396
category10,2023-07-06,28.436103067896582
category10,2023-07-07,24.87636389040742
category10,2023-07-08,23.815031415950326
category10,2023-07-09,23.979056260670824
category10,2023-07-10,24.266334038448598
category10,2023-07-11,25.84821747364086
category10,2023-07-12,21.90959393928048
category10,2023-07-13,20.007643229171876
category10,2023-07-14,19.25267344895209
category10,2023-07-15,21.000808369587016
category10,2023-07-16,22.027454270469757
