品类,仓库
category1,0
category10,1
category100,2
category101,3
category103,17
category104,102
category105,6
category106,7
category107,12
category108,10
category109,18
category11,8
category110,9
category111,11
category112,14
category113,13
category114,15
category115,16
category117,19
category118,22
category119,4
category12,39
category120,20
category121,103
category122,108
category123,32
category124,21
category125,23
category126,24
category127,25
category129,26
category13,27
category131,28
category132,29
category133,30
category134,5
category135,33
category136,31
category138,34
category14,35
category140,36
category142,37
category143,43
category144,38
category145,40
category146,59
category147,42
category148,44
category149,45
category15,138
category150,46
category155,47
category156,48
category157,49
category158,50
category159,41
category16,68
category160,104
category162,51
category163,52
category167,53
category168,54
category17,94
category170,55
category171,107
category172,56
category173,115
category174,60
category175,58
category176,63
category177,61
category178,95
category179,62
category18,65
category180,64
category181,57
category182,132
category184,112
category186,66
category187,67
category189,70
category19,98
category193,69
category199,71
category201,74
category202,111
category204,99
category206,72
category207,75
category210,73
category211,76
category212,77
category213,78
category214,79
category215,110
category216,80
category217,83
category218,87
category219,81
category22,84
category220,85
category221,86
category222,96
category224,100
category227,113
category228,114
category23,82
category230,88
category231,89
category232,118
category234,90
category235,92
category236,120
category238,121
category239,127
category244,93
category246,105
category247,131
category249,91
category25,117
category251,101
category255,129
category257,122
category260,97
category261,128
category264,123
category265,106
category267,116
category268,135
category269,119
category27,126
category270,124
category271,133
category272,125
category274,109
category277,130
category278,134
category28,136
category284,139
category288,137
