品类,7月库存量,8月库存量,9月库存量
category61,888528.8442710084,1122195.604701945,1367986.0976561983
category151,511267.1053337685,656973.6778751847,812429.446007285
category121,294477.2936080366,388143.5624569381,495013.7236893412
category241,214356.5990552204,249614.1321480755,279998.503440706
category271,54496.43605528542,68994.45809187205,84487.08296874724
category91,52319.74596212088,64429.43845913897,76147.66524734703
category211,35201.60924142653,42330.54906212344,48901.56767763682
category1,23967.36604309862,29669.76573261607,35313.70216041291
category301,11903.74761744284,16891.240460610232,23441.640059627105
category181,2092.8372163502354,2604.3809885736337,3110.971556400691
category31,674.5640420371958,807.0230403459791,926.5110922436184
category331,70667.40494035977,107503.52910642444,161588.02431927947
