品类,月份,库存量
category84,2022年7月,3689222
category225,2022年7月,3095300
category21,2022年7月,2379868
category42,2022年7月,2306150
category209,2022年7月,1864077
category254,2022年7月,1765556
category141,2022年7月,1709579
category65,2022年7月,959127
category153,2022年7月,893591
category20,2022年7月,874100
category40,2022年7月,844069
category2,2022年7月,811283
category164,2022年7月,798561
category276,2022年7月,658859
category60,2022年7月,639427
category308,2022年7月,605595
category197,2022年7月,584434
category279,2022年7月,583854
category102,2022年7月,561977
category87,2022年7月,545547
category130,2022年7月,537259
category323,2022年7月,515852
category243,2022年7月,454823
category259,2022年7月,450816
category237,2022年7月,389432
category30,2022年7月,388594
category166,2022年7月,338489
category280,2022年7月,337985
category95,2022年7月,336018
category109,2022年7月,333310
category245,2022年7月,331365
category263,2022年7月,323316
category266,2022年7月,307160
category313,2022年7月,300301
category32,2022年7月,296419
category48,2022年7月,265257
category283,2022年7月,257504
category61,2022年7月,247068
category195,2022年7月,245796
category299,2022年7月,241518
category223,2022年7月,233842
category86,2022年7月,226325
category15,2022年7月,207778
category161,2022年7月,206399
category262,2022年7月,200662
category185,2022年7月,194789
category203,2022年7月,191911
category200,2022年7月,189783
category29,2022年7月,185887
category282,2022年7月,182519
category58,2022年7月,176840
category191,2022年7月,176613
category242,2022年7月,175910
category183,2022年7月,175529
category128,2022年7月,174484
category104,2022年7月,172128
category190,2022年7月,169778
category250,2022年7月,168653
category325,2022年7月,166610
category286,2022年7月,165435
category240,2022年7月,160418
category44,2022年7月,147808
category148,2022年7月,144414
category77,2022年7月,141596
category72,2022年7月,140363
category198,2022年7月,138702
category196,2022年7月,136862
category93,2022年7月,132772
category151,2022年7月,131713
category247,2022年7月,127741
category12,2022年7月,127657
category47,2022年7月,124545
category62,2022年7月,123762
category316,2022年7月,121833
category136,2022年7月,120504
category248,2022年7月,116395
category17,2022年7月,116133
category89,2022年7月,111647
category285,2022年7月,110735
category35,2022年7月,108748
category160,2022年7月,104745
category97,2022年7月,100577
category16,2022年7月,96511
category51,2022年7月,91834
category267,2022年7月,91412
category154,2022年7月,89142
category287,2022年7月,89077
category121,2022年7月,87321
category253,2022年7月,87303
category135,2022年7月,86894
category143,2022年7月,81881
category307,2022年7月,80453
category73,2022年7月,79745
category293,2022年7月,79631
category236,2022年7月,76953
category80,2022年7月,76309
category297,2022年7月,76193
category226,2022年7月,76128
category103,2022年7月,75423
category107,2022年7月,75169
category56,2022年7月,73506
category232,2022年7月,73441
category273,2022年7月,72476
category184,2022年7月,71708
category146,2022年7月,70816
category124,2022年7月,69890
category46,2022年7月,69853
category165,2022年7月,66871
category173,2022年7月,63627
category45,2022年7月,62427
category122,2022年7月,59803
category138,2022年7月,58186
category208,2022年7月,56869
category205,2022年7月,56729
category321,2022年7月,55351
category241,2022年7月,53717
category281,2022年7月,53088
category169,2022年7月,52934
category275,2022年7月,51498
category33,2022年7月,50746
category322,2022年7月,50253
category152,2022年7月,47774
category8,2022年7月,46837
category28,2022年7月,46408
category324,2022年7月,44799
category171,2022年7月,44689
category85,2022年7月,43797
