,7月库存量,8月库存量,9月库存量
category1,6389.998,6304.494,6275.218
category31,111.60203,99.463974,90.65829
category61,257735.27,267600.84,271093.3
category91,9901.608,9192.24,8862.129
category121,74105.92,75883.68,78179.49
category151,114702.98,117393.86,121953.766
category181,615.6132,633.20074,695.5511
category211,8057.9565,8011.906,8008.962
category241,55528.14,56214.035,58206.605
category271,15946.681,16740.639,17230.777
category301,2533.8594,2590.0461,2823.1226
category331,42298.29,47812.754,52854.676
