品类,7月库存量,8月库存量,9月库存量
category84,11821904.80425831,13397426.219689475,14649236.94671673
category225,11789839.561798692,14851088.351155045,17981339.14476323
category21,9846323.847877176,11243987.320154246,12414183.69054536
category42,8909020.585961867,10758422.162146512,12460050.484721072
category209,5569206.164690778,6807361.393152349,7988930.519538164
category254,6304907.291576605,7566382.5162560735,8738374.721733417
category141,7399095.343636453,9181785.462301314,10971848.795599936
category65,2431056.943751598,2913904.3363419864,3359672.21955762
category153,2883382.3196459925,3146543.030556995,3321353.9831757788
category20,2795132.848641202,3243531.2516292767,3619721.876359952
category40,2996350.9050883185,3847870.943804143,4757584.2368754335
category2,2675901.3464160906,3195653.017031446,3669764.4383468833
category164,2028190.2209219225,2299471.968592903,2509782.075414355
category276,2694581.5132248774,3344462.07355272,4001545.901487783
category60,2026353.2309428155,2420004.1420212626,2777187.93168462
category308,2465449.123207826,3123508.837792646,3796491.315892249
category197,2387029.2772065564,2835435.016968777,3229482.3281549425
category279,2236770.0744068604,2863714.691833721,3528686.002635116
category102,2080996.543864168,2446614.821659816,2768947.638189853
category87,1970452.546698332,2256481.0079987007,2489445.360779452
category130,1841418.5278220456,2052721.8973059875,2203722.2325999048
category323,414126.6028933398,447109.3129696468,468487.27237162605
category243,1440291.281531633,1650348.8021963742,1819957.8928315395
category259,1404849.380018184,1766779.4813820664,2138186.133382688
category237,1159627.3347027674,1435991.9007488657,1707474.6556822471
category30,1258351.095284611,1528324.5642099138,1785741.0878178198
category166,1121267.5727777858,1326163.9356760182,1507673.6736702428
category280,1223034.876566466,1483348.481718909,1733376.8009080945
category95,1139957.878694903,1405493.6874072142,1664574.057972673
category109,1465098.2735898346,1855412.09018812,2256135.641443409
category245,1299716.5356178852,1556560.382669879,1793529.8656998184
category263,1301084.5650805533,1576178.3439047043,1833893.3350686184
category266,568549.3090237539,628740.2861992551,672397.3580303625
category313,828105.2575413084,974781.3271661272,1105926.842490611
category32,1053046.814154217,1341053.2000132026,1639363.384598502
category48,1122735.6242668116,1432521.4307778906,1763585.2529273042
category283,841153.7907257751,1047244.4584773852,1255816.695323415
category61,888528.8442710084,1122195.604701945,1367986.0976561983
category195,779135.948595874,958394.5553191156,1136104.1424706727
category299,985169.01938263,1198385.5729471897,1398836.6623772294
category223,710000.3103311807,883381.4397606999,1055895.4151478035
category86,1061159.126489507,1315431.7614697425,1565395.8703383915
category15,812982.3889451423,1031289.8273005248,1259459.8221126632
category161,525957.5432491559,636516.8109686086,744064.8671244443
category262,706082.3910115538,890266.4640335711,1080165.6346072266
category185,640194.8491487226,734275.3140032546,809175.8126637089
category203,587454.9169662916,743795.2086859331,908443.7575998008
category200,767867.2815625004,916874.36654874,1054831.1648586588
category29,503177.16012639296,584664.9565113956,652298.939234829
category282,590567.0540228372,676911.0527311405,746347.7380886779
category58,537006.3800450588,621473.9628677382,690936.221298537
category191,573683.50870902,681617.5314742982,777319.6942852312
category242,881227.1930443461,1037628.2368020748,1177092.0580177908
category183,380553.9133116698,520260.7377406701,686815.0108562319
category128,776272.2047128915,926430.485989803,1060656.95859034
category104,758295.689503487,1018567.7246505958,1326007.5529970971
category190,405250.3660547704,479536.3575195218,547032.2813610135
category250,517251.1539029114,593797.4752130462,655883.7661044936
category325,506578.71383298887,631905.7157824165,760899.1861419012
category286,602693.2553057596,743949.5270488067,881616.1986484947
category240,563381.4819244025,707842.7405027412,855127.7479850901
category44,625692.1292143454,731306.6590154329,816877.4278979735
category148,49627.428672487855,55629.14294449167,67390.9336332232
category77,653219.2802157538,755927.9857510354,839832.9301989481
category72,438137.28177262,593784.257892672,778782.6918244683
category198,365053.60107514594,414602.5604767261,454651.742214044
category196,364736.32901987433,451662.7302812189,538467.146576859
