品类,日期,预测销量
category1,2023/7/1,24.257088245470076
category1,2023/7/2,24.493926420256294
category1,2023/7/3,25.40415590408624
category1,2023/7/4,25.422359991536773
category1,2023/7/5,25.213116699867843
category1,2023/7/6,28.67727701731963
category1,2023/7/7,29.42012322047434
category1,2023/7/8,25.990424874804788
category1,2023/7/9,24.664164509126298
category1,2023/7/10,25.094359540328128
category1,2023/7/11,25.90913382347137
category1,2023/7/12,25.182352694058363
category1,2023/7/13,30.42752918908635
category1,2023/7/14,29.9650997741988
category1,2023/7/15,25.834168569580743
category1,2023/7/16,24.64360895357074
category1,2023/7/17,25.42872059392831
category1,2023/7/18,25.891875602160518
category1,2023/7/19,25.830671788706404
category1,2023/7/20,30.1978344393916
category1,2023/7/21,29.9650997741988
category1,2023/7/22,25.834168569580743
category1,2023/7/23,24.64360895357074
category1,2023/7/24,25.42872059392831
category1,2023/7/25,25.891875602160518
category1,2023/7/26,25.830671788706404
category1,2023/7/27,30.1978344393916
category1,2023/7/28,29.9650997741988
category1,2023/7/29,25.834168569580743
category1,2023/7/30,24.64360895357074
category1,2023/7/31,25.42872059392831
category1,2023/8/1,25.891875602160518
category1,2023/8/2,25.830671788706404
category1,2023/8/3,30.1978344393916
category1,2023/8/4,29.9650997741988
category1,2023/8/5,25.834168569580743
category1,2023/8/6,24.64360895357074
category1,2023/8/7,25.42872059392831
category1,2023/8/8,26.299677941341802
category1,2023/8/9,25.830671788706404
category1,2023/8/10,30.1978344393916
category1,2023/8/11,29.9650997741988
category1,2023/8/12,25.834168569580743
category1,2023/8/13,24.64360895357074
category1,2023/8/14,25.35805392726165
category1,2023/8/15,25.866875602160516
category1,2023/8/16,25.830671788706404
category1,2023/8/17,30.1978344393916
category1,2023/8/18,30.232702113380093
category1,2023/8/19,25.804168569580742
category1,2023/8/20,24.672608953570737
category1,2023/8/21,25.40372059392831
category1,2023/8/22,27.9436739354374
category1,2023/8/23,26.29260595144245
category1,2023/8/24,30.024378468665738
category1,2023/8/25,30.142242631341663
category1,2023/8/26,25.981890494714435
category1,2023/8/27,24.64993038214217
category1,2023/8/28,24.458720393995787
category1,2023/8/29,27.119293019676917
category1,2023/8/30,26.43260595144245
category1,2023/8/31,30.13897904337838
category1,2023/9/1,30.010993713592747
category1,2023/9/2,26.04974763757157
category1,2023/9/3,24.661913353596685
category1,2023/9/4,24.412459445941714
category1,2023/9/5,27.059293019676915
category1,2023/9/6,26.43260595144245
category1,2023/9/7,30.13897904337838
category1,2023/9/8,29.98432704692608
category1,2023/9/9,26.704350812174745
category1,2023/9/10,24.632913353596688
category1,2023/9/11,24.457459445941712
category1,2023/9/12,27.059293019676915
category1,2023/9/13,26.397541016377517
category1,2023/9/14,30.096671351070686
category1,2023/9/15,29.98432704692608
category1,2023/9/16,26.07974763757157
category1,2023/9/17,24.632913353596688
category1,2023/9/18,24.457459445941712
category1,2023/9/19,27.059293019676915
category1,2023/9/20,26.397541016377517
category1,2023/9/21,30.096671351070686
category1,2023/9/22,29.98432704692608
category1,2023/9/23,26.07974763757157
category1,2023/9/24,24.632913353596688
category1,2023/9/25,24.457459445941712
category1,2023/9/26,27.059293019676915
category1,2023/9/27,26.397541016377517
category1,2023/9/28,30.096671351070686
category1,2023/9/29,31.43699797009489
category1,2023/9/30,26.041838785458776
category10,2023/7/1,36.178619885489354
category10,2023/7/2,61.95933423085617
category10,2023/7/3,40.313966182672786
