仓库,仓容上限,产能上限,仓租日成本,,,
warehouse1,618887,20310,1826.329572,,618.887,2031
warehouse2,1200847,41117,7073.335959,,1200.847,4111.7
warehouse3,781957,33857,6018.776948,,781.957,3385.7
warehouse4,1112506,35571,11591.77696,,1112.506,3557.1
warehouse5,42989,61,172.4600314,,42.989,6.1
warehouse6,1200,58,6.949455589,,1.2,5.8
warehouse7,162246,11196,660.839059,,162.246,1119.6
warehouse8,225918,9674,1350.818528,,225.918,967.4
warehouse9,860000,20366,7866.288689,,860,2036.6
warehouse10,1800000,19120,19424.46984,,1800,1912
warehouse11,1003754,33794,10130.72269,,1003.754,3379.4
warehouse12,550000,9485,5609.453282,,550,948.5
warehouse13,1851905,65924,1094.83251,,1851.905,6592.4
warehouse14,371557,3896,974.5320224,,371.557,389.6
warehouse15,809878,28167,8327.808554,,809.878,2816.7
warehouse16,556854,25238,3406.910316,,556.854,2523.8
warehouse17,1235639,53284,1943.997348,,1235.639,5328.4
warehouse18,3221987,88454,21757.79848,,3221.987,8845.4
warehouse19,2405343,108724,24457.11918,,2405.343,10872.4
warehouse20,814791,43113,2048.010139,,814.791,4311.3
warehouse21,938152,28246,3603.119361,,938.152,2824.6
warehouse22,650000,15922,1222.404612,,650,1592.2
warehouse23,2195678,88207,23317.79114,,2195.678,8820.7
warehouse24,942510,20799,2648.242658,,942.51,2079.9
warehouse25,2130472,30530,1830.381476,,2130.472,3053
warehouse26,1223162,24734,1348.808761,,1223.162,2473.4
warehouse27,1847628,42031,318.7178356,,1847.628,4203.1
warehouse28,1399259,26705,60.48620111,,1399.259,2670.5
warehouse29,387074,12749,2219.025736,,387.074,1274.9
warehouse30,1497042,33970,4844.854024,,1497.042,3397
warehouse31,1036486,31368,4142.985785,,1036.486,3136.8
warehouse32,674358,21976,4245.98401,,674.358,2197.6
warehouse33,2205232,63328,7546.370072,,2205.232,6332.8
warehouse34,1106130,50564,8915.200283,,1106.13,5056.4
warehouse35,1635255,33605,4327.541409,,1635.255,3360.5
warehouse36,954532,53235,5156.83093,,954.532,5323.5
warehouse37,1254913,46009,5041.613797,,1254.913,4600.9
warehouse38,3130754,31483,25204.09494,,3130.754,3148.3
warehouse39,820359,33341,4022.233685,,820.359,3334.1
warehouse40,4610648,133826,13919.37485,,4610.648,13382.6
warehouse41,715005,17237,6068.25078,,715.005,1723.7
warehouse42,50000,524,188.3156585,,50,52.4
warehouse43,505299,36932,3705.553207,,505.299,3693.2
warehouse44,890239,51122,4873.098015,,890.239,5112.2
warehouse45,558510,26315,247.8200255,,558.51,2631.5
warehouse46,1650000,32604,3799.937277,,1650,3260.4
warehouse47,455074,16568,3246.490034,,455.074,1656.8
warehouse48,1263760,47892,158.1185327,,1263.76,4789.2
warehouse49,400000,20701,168.9286855,,400,2070.1
warehouse50,1800658,36014,5230.25737,,1800.658,3601.4
warehouse51,875574,33723,4575.406658,,875.574,3372.3
warehouse52,787636,32024,20.86321515,,787.636,3202.4
warehouse53,348146,15331,3703.207788,,348.146,1533.1
warehouse54,380044,3779,4086.192101,,380.044,377.9
warehouse55,517741,26097,4376.562519,,517.741,2609.7
warehouse56,1001618,4959,9307.210971,,1001.618,495.9
warehouse57,810068,29042,8022.180643,,810.068,2904.2
warehouse58,97270,617,894.8579062,,97.27,61.7
warehouse59,250000,4491,1139.786077,,250,449.1
warehouse60,6416779,71564,11005.70623,,6416.779,7156.4
warehouse61,551392,32049,2617.783234,,551.392,3204.9
warehouse62,407598,7414,2857.948504,,407.598,741.4
warehouse63,1172350,11286,10724.38965,,1172.35,1128.6
warehouse64,1323065,19896,10940.00682,,1323.065,1989.6
warehouse65,600941,9871,476.7369524,,600.941,987.1
warehouse66,555049,18889,909.824751,,555.049,1888.9
warehouse67,2825685,9722,12177.69667,,2825.685,972.2
warehouse68,1354130,21518,3821.84397,,1354.13,2151.8
warehouse69,1020000,35933,3766.576164,,1020,3593.3
warehouse70,7572,302,64.96336634,,7.572,30.2
warehouse71,245098,6809,1418.853098,,245.098,680.9
warehouse72,560000,10701,3942.348457,,560,1070.1
warehouse73,499613,4045,5407.633919,,499.613,404.5
warehouse74,241274,2241,1530.957515,,241.274,224.1
warehouse75,436724,10686,4694.818516,,436.724,1068.6
warehouse76,727612,7051,4473.505719,,727.612,705.1
warehouse77,668475,17642,5873.826278,,668.475,1764.2
warehouse78,468911,11700,3911.433884,,468.911,1170
warehouse79,663244,15046,3098.03764,,663.244,1504.6
warehouse80,1110560,12820,3360.265893,,1110.56,1282
warehouse81,226837,10405,1398.945075,,226.837,1040.5
warehouse82,92843,671,295.1330465,,92.843,67.1
warehouse83,106133,945,445.8644604,,106.133,94.5
warehouse84,542128,16517,57.11354398,,542.128,1651.7
warehouse85,202259,4889,2136.006908,,202.259,488.9
warehouse86,69809,2216,723.3276544,,69.809,221.6
warehouse87,224727,3179,175.2965998,,224.727,317.9
warehouse88,380627,12436,854.5696354,,380.627,1243.6
warehouse89,88217,2888,267.8803881,,88.217,288.8
warehouse90,103001,338,359.5250614,,103.001,33.8
warehouse91,348315,1039,1117.000016,,348.315,103.9
warehouse92,8091,18,30.82435364,,8.091,1.8
warehouse93,13000,1699,84.12243825,,13,169.9
warehouse94,8292,578,14.83348652,,8.292,57.8
warehouse95,1346728,58746,1764.095414,,1346.728,5874.6
warehouse96,453718,31271,3521.488779,,453.718,3127.1
warehouse97,328513,15607,664.5351688,,328.513,1560.7
warehouse98,31021,162,267.0837384,,31.021,16.2
warehouse99,467631,23082,881.6241883,,467.631,2308.2
warehouse100,400199,36874,4281.54318,,400.199,3687.4
warehouse101,41471,3063,49.84319341,,41.471,306.3
warehouse102,2100000,3397,10671.27106,,2100,339.7
warehouse103,11500000,445991,107298.0659,,11500,44599.1
warehouse104,9481367,177637,84603.93823,,9481.367,17763.7
warehouse105,4333446,72839,36961.28777,,4333.446,7283.9
warehouse106,678594,20556,5200.215429,,678.594,2055.6
warehouse107,75320,874,760.3712642,,75.32,87.4
warehouse108,833153,53789,1689.443483,,833.153,5378.9
warehouse109,2636856,101533,24383.81008,,2636.856,10153.3
warehouse110,222000,4,2248.215183,,222,0.4
warehouse111,920000,32728,966.9633357,,920,3272.8
warehouse112,1528036,45974,10001.27664,,1528.036,4597.4
warehouse113,1038218,65436,9821.164644,,1038.218,6543.6
warehouse114,1495450,37149,14187.52528,,1495.45,3714.9
warehouse115,4780561,41038,51216.71888,,4780.561,4103.8
warehouse116,2321407,87365,6912.505605,,2321.407,8736.5
warehouse117,400000,6549,3075.227457,,400,654.9
warehouse118,415159,16940,1452.260836,,415.159,1694
warehouse119,2178072,46774,7926.788801,,2178.072,4677.4
warehouse120,600000,9661,5840.089293,,600,966.1
warehouse121,1238845,51295,3111.40719,,1238.845,5129.5
warehouse122,1850399,36034,6540.550396,,1850.399,3603.4
warehouse123,1481455,26349,13497.87774,,1481.455,2634.9
warehouse124,1200000,17147,8272.803483,,1200,1714.7
warehouse125,180000,9916,1066.45495,,180,991.6
warehouse126,600000,8164,5169.39342,,600,816.4
warehouse127,456308,16203,4942.412076,,456.308,1620.3
warehouse128,1782357,53551,8020.310483,,1782.357,5355.1
warehouse129,586800,23054,3753.953291,,586.8,2305.4
warehouse130,767141,35321,237.6235009,,767.141,3532.1
warehouse131,200475,13285,1416.018053,,200.475,1328.5
warehouse132,950012,47356,151.8075657,,950.012,4735.6
warehouse133,2078326,80907,7303.465983,,2078.326,8090.7
warehouse134,13300000,27501,64136.74838,,13300,2750.1
warehouse135,271627,14900,578.7049039,,271.627,1490
warehouse136,302874,28175,2125.369839,,302.874,2817.5
warehouse137,277876,17593,2967.973039,,277.876,1759.3
warehouse138,8708,26,59.0610254,,8.708,2.6
warehouse139,13500000,92020,43301.98901,,13500,9202
warehouse140,4482310,39201,43424.7885,,4482.31,3920.1
