品类,日期,销量
1,2022/7/1,38
1,2022/7/2,26
1,2022/7/3,30
1,2022/7/4,34
1,2022/7/5,34
1,2022/7/6,36
1,2022/7/7,46
1,2022/7/8,42
1,2022/7/9,40
1,2022/7/10,40
1,2022/7/11,42
1,2022/7/12,40
1,2022/7/13,52
1,2022/7/14,26
1,2022/7/15,36
1,2022/7/16,26
1,2022/7/17,28
1,2022/7/18,34
1,2022/7/19,28
1,2022/7/20,28
1,2022/7/21,24
1,2022/7/22,32
1,2022/7/23,24
1,2022/7/24,22
1,2022/7/25,28
1,2022/7/26,30
1,2022/7/27,34
1,2022/7/28,48
1,2022/7/29,20
1,2022/7/30,24
1,2022/7/31,20
1,2022/8/1,22
1,2022/8/2,24
1,2022/8/3,22
1,2022/8/4,22
1,2022/8/5,28
1,2022/8/6,22
1,2022/8/7,26
1,2022/8/8,20
1,2022/8/9,26
1,2022/8/10,22
1,2022/8/11,22
1,2022/8/12,26
1,2022/8/13,32
1,2022/8/14,22
1,2022/8/15,34
1,2022/8/16,20
1,2022/8/17,22
1,2022/8/18,28
1,2022/8/19,26
1,2022/8/20,24
1,2022/8/21,20
1,2022/8/22,24
1,2022/8/23,24
1,2022/8/24,24
1,2022/8/25,38
1,2022/8/26,42
1,2022/8/27,20
1,2022/8/28,22
1,2022/8/29,38
1,2022/8/30,26
1,2022/8/31,28
1,2022/9/1,34
1,2022/9/2,34
1,2022/9/3,40
1,2022/9/4,32
1,2022/9/5,26
1,2022/9/6,38
1,2022/9/7,30
1,2022/9/8,28
1,2022/9/9,32
1,2022/9/10,32
1,2022/9/11,36
1,2022/9/12,30
1,2022/9/13,28
1,2022/9/14,22
1,2022/9/15,36
1,2022/9/16,30
1,2022/9/17,40
1,2022/9/18,28
1,2022/9/19,30
1,2022/9/20,32
1,2022/9/21,28
1,2022/9/22,28
1,2022/9/23,46
1,2022/9/24,20
1,2022/9/25,24
1,2022/9/26,28
1,2022/9/27,28
1,2022/9/28,22
1,2022/9/29,28
1,2022/9/30,30
1,2023/4/1,26
1,2023/4/2,24
1,2023/4/3,20
1,2023/4/4,30
1,2023/4/5,28
1,2023/4/6,40
1,2023/4/7,24
1,2023/4/8,22
1,2023/4/9,24
1,2023/4/10,26
1,2023/4/11,28
1,2023/4/12,24
1,2023/4/13,18
1,2023/4/14,34
1,2023/4/15,24
1,2023/4/16,18
1,2023/4/17,20
1,2023/4/18,30
1,2023/4/19,20
1,2023/4/20,24
1,2023/4/21,28
1,2023/4/22,32
1,2023/4/23,46
1,2023/4/24,40
1,2023/4/25,32
1,2023/4/26,20
1,2023/4/27,18
1,2023/4/28,16
1,2023/4/29,38
1,2023/4/30,14
1,2023/5/1,28
1,2023/5/2,20
1,2023/5/3,54
1,2023/5/4,36
1,2023/5/5,20
1,2023/5/6,26
1,2023/5/7,18
1,2023/5/8,28
1,2023/5/9,46
1,2023/5/10,22
1,2023/5/11,20
1,2023/5/12,24
1,2023/5/13,22
1,2023/5/14,20
1,2023/5/15,20
1,2023/5/16,22
1,2023/5/17,20
1,2023/5/18,20
1,2023/5/19,22
1,2023/5/20,20
1,2023/5/21,18
1,2023/5/22,28
1,2023/5/23,26
1,2023/5/24,46
1,2023/5/25,22
1,2023/5/26,28
1,2023/5/27,26
1,2023/5/28,20
1,2023/5/29,22
1,2023/5/30,20
1,2023/5/31,26
1,2023/6/1,42
1,2023/6/2,28
1,2023/6/3,24
1,2023/6/4,24
1,2023/6/5,20
1,2023/6/6,22
1,2023/6/7,20
1,2023/6/8,30
1,2023/6/9,20
1,2023/6/10,20
1,2023/6/11,26
1,2023/6/12,22
1,2023/6/13,22
1,2023/6/14,22
1,2023/6/15,32
1,2023/6/16,36
1,2023/6/17,36
1,2023/6/18,36
1,2023/6/19,26
1,2023/6/20,22
1,2023/6/21,24
1,2023/6/22,18
1,2023/6/23,18
1,2023/6/24,20
1,2023/6/25,36
1,2023/6/26,22
1,2023/6/27,24
1,2023/6/28,22
1,2023/6/29,22
1,2023/6/30,24
2,2022/7/1,5638
2,2022/7/2,5094
2,2022/7/3,5264
2,2022/7/4,5000
2,2022/7/5,5142
2,2022/7/6,7142
2,2022/7/7,6396
2,2022/7/8,4754
2,2022/7/9,5462
2,2022/7/10,5396
2,2022/7/11,5558
2,2022/7/12,8262
2,2022/7/13,6068
2,2022/7/14,6414
2,2022/7/15,7658
2,2022/7/16,6292
2,2022/7/17,6298
2,2022/7/18,7182
2,2022/7/19,6598
2,2022/7/20,7768
2,2022/7/21,10502
2,2022/7/22,5918
2,2022/7/23,6110
2,2022/7/24,6220
2,2022/7/25,11310
2,2022/7/26,8406
2,2022/7/27,8460
2,2022/7/28,13052
2,2022/7/29,11898
2,2022/7/30,8232
2,2022/7/31,13850
2,2022/8/1,9412
2,2022/8/2,6806
2,2022/8/3,10734
2,2022/8/4,8358
2,2022/8/5,7668
2,2022/8/6,7558
2,2022/8/7,6416
2,2022/8/8,9152
2,2022/8/9,6660
2,2022/8/10,7406
2,2022/8/11,8494
2,2022/8/12,7776
2,2022/8/13,11120
2,2022/8/14,8320
2,2022/8/15,8900
2,2022/8/16,8406
2,2022/8/17,10534
2,2022/8/18,8370
2,2022/8/19,10424
2,2022/8/20,6550
2,2022/8/21,8972
2,2022/8/22,8574
2,2022/8/23,7328
2,2022/8/24,8050
2,2022/8/25,9482
2,2022/8/26,7436
2,2022/8/27,7836
2,2022/8/28,7478
2,2022/8/29,8282
2,2022/8/30,12590
2,2022/8/31,9418
2,2022/9/1,9986
2,2022/9/2,8978
2,2022/9/3,7864
2,2022/9/4,6448
2,2022/9/5,9406
2,2022/9/6,9540
2,2022/9/7,10450
2,2022/9/8,11276
2,2022/9/9,14446
2,2022/9/10,11326
2,2022/9/11,8752
2,2022/9/12,8204
2,2022/9/13,12174
2,2022/9/14,11454
2,2022/9/15,10158
2,2022/9/16,10216
