品类1,品类2,关联度
2,5,28
2,20,21892
2,24,31
2,30,85
2,40,3379
2,44,12
2,49,45
2,56,51
2,58,1738
2,60,390
2,63,28
2,65,6049
2,71,20
2,86,83
2,88,20
2,89,234
2,97,3311
2,108,25
2,151,180
2,153,326
2,158,18
2,160,40
2,169,42
2,173,14
2,184,48
2,185,41
2,188,118
2,190,106
2,191,18
2,194,13
2,195,175
2,196,103
2,200,275
2,215,26
2,226,394
2,227,19
2,233,43
2,236,25
2,239,303
2,248,43
2,252,30
2,253,40
2,257,11
2,258,20
2,263,1183
2,266,148
2,268,16
2,273,127
2,275,99
2,279,597
2,280,192
2,281,58
2,284,17
2,285,353
2,325,110
5,56,19
5,58,23
5,70,24
5,173,18
5,191,361
5,263,36
5,266,19
5,280,43
8,165,94
8,196,226
8,253,569
8,279,845
11,24,13
11,60,34
11,169,28
11,226,11
12,2,39
12,5,109
12,20,46
12,21,284
12,40,17
12,54,40
12,58,15
12,60,13
12,65,63
12,79,129
12,84,424
12,130,22
12,132,308
12,183,22
12,198,208
12,200,14
12,225,37
12,226,33
12,242,72
12,243,76
12,254,405
12,276,27
12,285,26
12,308,204
12,312,61
12,325,24
12,333,1784
15,2,102
15,17,2140
15,20,87
15,21,81
15,26,167
15,35,232
15,40,35
15,48,48
15,60,29
15,65,130
15,84,171
15,87,29
15,89,30
15,97,13
15,102,40
15,122,26
15,153,14
15,164,42
15,183,60
15,195,50
15,200,19
15,215,29
15,226,40
15,241,53
15,242,17
15,243,60
15,254,122
15,263,16
15,266,11
15,279,79
15,281,14
15,282,130
15,283,84
15,285,14
15,308,129
15,330,33
17,2,86
17,20,76
17,21,121
17,26,1007
17,35,13
17,48,181
17,60,26
17,65,98
17,84,213
17,87,83
17,89,37
17,102,28
17,122,187
17,143,24
17,153,49
17,164,30
17,183,63
17,195,35
17,200,24
17,215,21
17,226,41
17,241,121
17,242,11
17,243,33
17,254,158
17,263,11
17,266,22
17,273,11
17,279,72
17,281,26
17,282,176
17,283,157
17,287,11
17,308,120
18,81,52
20,24,36
20,30,43
20,40,2782
20,56,58
20,58,445
20,60,423
20,63,23
20,65,7684
20,71,14
20,86,21
20,88,17
20,89,366
20,151,269
20,153,559
20,158,11
20,169,12
20,184,62
20,185,31
20,188,130
20,190,60
20,194,39
20,195,199
20,196,113
20,200,233
20,215,35
20,226,570
20,233,11
20,236,28
20,239,681
20,248,16
20,252,48
20,253,31
20,263,241
20,266,192
20,273,159
20,275,46
20,279,678
20,280,71
20,281,15
20,285,387
20,303,152
20,325,140
21,2,3390
21,5,13
21,14,47
21,20,4170
21,24,82
21,30,321
21,34,14
21,40,5217
21,49,104
21,56,252
21,58,1145
21,59,75
21,60,1200
21,63,62
21,65,5010
21,71,366
21,79,13997
21,84,74630
21,86,244
21,87,788
21,88,32
21,89,244
21,94,24
21,97,612
21,102,3457
21,118,14
21,130,3287
21,151,246
21,153,754
21,158,98
21,160,215
21,165,11
21,169,23
21,183,2648
21,184,158
21,185,82
21,187,13
21,188,213
21,190,317
21,191,26
21,194,77
21,195,505
21,196,261
21,200,756
21,202,26
21,215,13
21,218,12
21,226,1250
21,227,165
21,229,51
21,233,192
21,236,181
21,239,325
21,243,6599
21,248,66
21,252,146
21,253,13
21,254,70114
21,258,32
21,263,260
21,266,411
21,273,646
21,275,165
21,279,1542
21,280,392
21,281,119
21,284,12
21,285,1137
21,290,12
21,300,47
21,308,10516
21,311,43
21,325,484
21,330,103
24,63,266
24,188,926
24,279,34
26,2,14
26,21,15
26,40,13
26,48,120
26,65,22
26,84,47
26,87,42
26,89,24
26,153,24
26,164,39
26,183,22
26,195,11
26,226,16
26,243,12
26,254,56
26,279,11
26,281,54
26,308,27
28,227,30
28,263,76
30,60,32
30,153,34
30,226,148
30,266,13
30,273,13
30,280,109
30,285,11
34,30,71
34,190,11
34,200,323
34,280,35
35,2,57
35,20,46
35,21,125
35,40,69
35,49,12
35,65,78
35,84,209
35,87,167
35,89,119
35,102,31
35,121,22
35,130,11
35,153,48
35,164,568
35,166,108
35,183,68
35,200,14
35,203,96
35,226,52
35,243,15
35,245,80
35,250,47
35,252,134
35,254,146
35,273,77
35,279,14
35,308,160
36,273,81
38,84,83
38,146,558
38,254,16
39,102,232
39,130,23
39,169,23
39,183,12
39,196,11
39,226,15
39,308,45
40,30,30
40,49,36
40,56,72
40,58,412
40,60,222
40,63,17
40,65,2983
40,71,14
40,86,47
40,88,16
40,89,905
40,94,11
40,151,125
40,153,368
40,155,11
40,158,15
40,160,40
40,184,26
40,185,42
40,188,36
40,190,88
40,194,23
40,195,98
40,196,38
40,200,174
40,218,14
40,226,277
40,227,11
40,233,37
40,236,48
40,239,456
40,248,41
40,252,32
40,258,14
40,263,99
40,266,86
40,273,171
40,275,39
40,279,389
40,280,57
40,281,28
40,285,374
40,325,95
41,207,80
43,21,20
43,56,12
43,60,11
43,84,47
43,102,11
43,183,21
43,226,18
43,254,49
43,273,248
43,308,26
44,109,20963
44,279,32393
48,2,150
48,20,172
48,21,452
48,35,6422
48,40,288
48,49,33
48,56,34
48,60,14
48,65,228
48,84,791
48,87,338
48,89,191
48,97,11
48,102,206
48,110,31
48,121,787
48,130,127
48,153,204
48,154,65
48,158,35
48,164,1982
48,166,246
48,183,197
48,195,12
48,200,105
48,203,352
48,222,25
48,226,89
48,227,13
48,233,57
48,236,57
48,242,12
48,243,113
48,245,393
48,246,97
48,250,191
48,252,281
48,254,619
48,266,14
48,270,20
48,273,391
48,279,42
48,281,98
48,308,599
48,325,27
49,14,274
49,56,240
49,155,53
49,201,117
49,222,553
49,226,113
49,227,95
49,233,413
49,236,146
49,252,853
49,273,1426
49,284,88
51,2,16
51,102,212
51,153,116
51,165,12
51,183,13
51,226,20
51,281,37
51,308,32
52,226,29
54,2,22
54,20,19
54,21,158
54,65,45
54,79,66
54,84,1342
54,183,23
54,226,13
54,243,42
54,254,174
54,276,12
54,285,14
54,308,67
54,312,266
54,330,14
56,14,115
56,58,20
56,60,13
56,70,13
56,153,18
56,195,34
56,226,38
56,233,480
56,263,13
56,279,29
56,285,22
58,44,12
58,108,282
58,151,4503
58,153,57
58,188,16
58,261,217
58,266,54
58,268,395
58,279,127
58,285,34566
60,8,83
60,19,11
60,24,130
60,44,91
60,58,82
60,63,1479
60,127,50
60,151,49
60,153,169
60,156,50
60,165,19
60,169,103
60,172,15
60,173,1001
60,178,29
60,188,514
60,191,4705
60,194,366
60,196,126
60,253,90
60,258,33
60,263,200
60,266,695
60,271,83
60,272,3740
60,279,5539
60,280,360
60,285,61
60,331,66
61,2,201
61,15,1062
61,17,376
61,20,224
61,21,407
61,24,11
61,26,87
61,30,14
61,35,399
61,40,105
61,48,65
61,51,13
61,58,16
61,60,77
61,62,52
61,65,337
61,72,51
61,84,660
61,86,16
61,87,239
61,89,143
61,97,44
61,100,14
61,102,335
61,103,1865
61,104,1392
61,122,12
61,130,175
61,132,47
61,141,13
61,146,16
61,152,22
61,153,61
61,154,20
61,164,181
61,183,161
61,184,15
61,188,41
61,190,11
61,195,62
61,196,16
61,200,87
61,203,12
61,215,97
61,223,48
61,225,274
61,226,96
61,241,48
61,242,37
61,243,110
61,245,34
61,252,13
61,254,499
61,263,26
61,266,35
61,273,18
61,275,11
61,276,1883
61,279,182
61,280,20
61,281,16
61,283,306
61,285,21
61,287,63
61,300,14
61,308,468
61,325,33
62,2,135
62,15,23
62,17,217
62,20,136
62,21,265
62,26,324
62,40,158
62,48,1032
62,60,31
62,65,118
62,72,63
62,84,435
62,87,474
62,89,118
62,97,26
62,102,116
62,122,570
62,123,11
62,130,54
62,153,483
62,154,16
62,164,320
62,166,14
62,176,16
62,183,164
62,195,57
62,200,75
62,215,36
62,225,705
62,226,49
62,241,659
62,242,18
62,243,96
62,245,33
62,254,415
62,257,11
62,266,33
62,273,29
62,279,139
62,281,288
62,283,853
62,285,19
62,308,321
62,311,15
63,279,57
65,5,12
65,24,23
65,30,117
65,49,34
65,56,123
65,58,472
65,60,538
65,63,21
65,71,49
65,86,123
65,89,366
65,94,14
65,108,14
65,151,194
65,153,440
65,160,33
65,169,27
65,184,69
65,185,23
65,188,125
65,190,104
65,191,12
65,194,24
65,195,195
65,196,143
65,200,275
65,201,13
65,215,26
65,226,538
65,227,23
65,233,44
65,236,38
65,239,201
65,248,59
65,252,51
65,253,25
65,258,12
65,263,1821
65,266,190
65,273,228
65,275,30
65,279,746
65,280,101
65,281,61
65,284,24
65,285,334
65,303,27
65,325,167
66,2,124
66,5,261
66,12,551
66,20,150
66,21,947
66,40,55
66,44,11
66,54,127
66,58,90
66,60,46
66,65,202
66,71,100
66,79,598
66,84,1420
66,87,12
